1x1,2x2,3x3,4x4,TotalTiles
1,2,3,10,16
1,1,7,8,17
2,4,2,10,18
3,1,5,9,18
5,1,3,10,19
1,6,3,9,19
2,3,6,8,19
3,6,1,10,20
4,3,4,9,20
1,5,7,7,20
2,2,10,6,20
6,3,2,10,21
2,8,2,9,21
3,5,5,8,21
4,2,8,7,21
5,5,3,9,22
6,2,6,8,22
1,10,3,8,22
2,7,6,7,22
3,4,9,6,22
7,5,1,10,23
8,2,4,9,23
3,10,1,9,23
4,7,4,8,23
5,4,7,7,23
6,1,10,6,23
1,9,7,6,23
2,6,10,5,23
10,2,2,10,24
6,7,2,9,24
7,4,5,8,24
8,1,8,7,24
3,9,5,7,24
4,6,8,6,24
9,4,3,9,25
10,1,6,8,25
5,9,3,8,25
6,6,6,7,25
7,3,9,6,25
3,8,9,5,25
7,9,1,9,26
8,6,4,8,26
9,3,7,7,26
5,8,7,6,26
6,5,10,5,26
2,10,10,4,26
10,6,2,9,27
7,8,5,7,27
8,5,8,6,27
4,10,8,5,27
9,8,3,8,28
10,5,6,7,28
6,10,6,6,28
7,7,9,5,28
8,10,4,7,29
9,7,7,6,29
10,4,10,5,29
6,9,10,4,29
10,10,2,8,30
8,9,8,5,30
10,9,6,6,31
10,8,10,4,32
